iblock;Shop;Магазин;;;;;;;;
section;Shop;tv_media;Телевизоры и медиа;500;sample.jpg;Телевизоры и медиа;;;;
section;tv_media;tv_acces;Телевизоры и аксессуары;500;sample.jpg;Телевизоры и аксессуары;;;;
section;tv_acces;ultraHD;Ultra HD;500;sample.jpg;Ultra HD;;;;
element;ultraHD;U42B9000K;42 (106 см) LED-телевизор DEXP U42B9000K;500;U42B9000K.jpg;Телевизор DEXP U42B9000K имеет диагональ 42 (106 см) и разрешение 3840x2160 (Ultra HD), обеспечивающее четкое изображение.;Телевизор DEXP U42B9000K имеет диагональ 42 (106 см) и разрешение 3840x2160 (Ultra HD), обеспечивающее четкое изображение. Принимает цифровой сигнал с использованием тюнеров DVB-C, DVB-T, DVB-T2. Поддерживает форматы PAL, SECAM. Благодаря NICAM позволяет насладиться звучанием с каналов, передающих стереозвук. Обладает объемным звучанием. Черный цвет рамки гармонирует с интерьером, также предусмотрена возможность закрепить модель на стену. Есть выходы HDMI (4 порта), USB (3 порта), VGA, аудио S/PDIF, MHL (RCA), PC аудио (jack 3.5), наушников и антенный вход. С функцией TimeShift есть возможность остановить кадр на интересном месте и потом возобновить просмотр. В указанную цену входят пульт ДУ, AV-кабель, документация, кронштейн, настольная подставка, входящие в комплект DEXP U42B9000K.;27000;300;18
element;ultraHD;49UF640V;49 (125 см) LED-телевизор LG 49UF640V;500;49UF640V.jpg;Качество изображения Ultra HD жидкокристаллического телевизора LG 49UF640V в четыре раза превышает Full HD;Качество изображения Ultra HD жидкокристаллического телевизора LG 49UF640V в четыре раза превышает Full HD. Даже при просмотре на близком расстоянии экран выдает идеальное изображение. В модель встроены два динамика с мощным звуком. Благодаря IPS матрице были расширены углы обзора. Модель LG 49UF640V принадлежит к классу Smart TV на платформе второй версии WebOs с доступом к интернету, Wi-Fi модулем и синхронизацией со смартфонами. Настройка телевизора и выбор избранных телеканалов упрощены благодаря функции Simplink. Телевизор имеет USB-порт, через который к экрану можно подключить и просматривать содержимое жесткого диска, фотоаппарата или флешки.;45600;200;18
